Customer Name,Branch Name,Billing Address,GSTIN,PAN,Customer,Branch Legal Name,ID
Grupo Antolin,Grupo Antolin- Baner,"10th Floor, Malpani Agile, Samarth Colony,  Near Pan Card Club, Baner, Pune, Maharastra, 411045 , India",27AAJCG8978M1ZJ,AAJCG8978M,Grupo Antolin,Grupo Antolin Design And Business Services Private Limited,"270193000000213457"
HARMAN,HARMAN - Bangalore,"Salarpuria Sattva Knowledge Court  Office-1, Wing 'A' & 'B' 3rd floor,, Plot No. 9, Phase I, Doddenakkundi Industrial Area,  K.R. Puram Hobli,, Bangalore, Karnataka, 560048, India",29AACCH1585J1ZA,AACCH1585J,HARMAN,HARMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"270193000000221003"
HARMAN,HARMAN - Pune,"ICC‐Devi Gaurav Technology Park, Old Mumbai‐ Pune Road, Pimpri,, Level 1, Office Unit 102 (Part), Pune, Maharashtra, 411018, India",27AACCH1585J1ZE,AACCH1585,HARMAN,HARMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"270193000000221008"
HARMAN,VALUELEAF,"Plot.No.17,18,28,29, FLAT NO 201, Sri Rangas Nandanam, CHANDU LAYOUT, Rajeshwari Garden, Pragathi Nagar, Hyderabad, Medchal Malkajgiri, Hyderabad, Telangana, 500090, India",36AAICV9119L1ZP,AAICV9119L,HARMAN,VALUELEAF IT SOLUTIONS PRIVATE LIMITED,"270193000000192053"
HARMAN Connected Service,HARMAN Whitefield,"Manyatha Embassy Business Tech Park, SEZ Park C 4 Block, Wing A Outer Ring Road Rachenahalli Village, Bangalore, Karnataka, 560045, India",29AADCA1576D1ZU,AADCA1576D,HARMAN Connected Service,HARMAN CONNECTED SERVICES TECHNOLOGIES PRIVATE LTD,"270193000000213529"
Hays AG,Hays - Munich,"Lilli-Palmer-Straße 2, 80636 Munich, Munich, Bavaria, 80636, Germany",,,Hays AG,Hays AG,"270193000000507005"
IPLTech,IPL Tech Haryana ,,,,IPLTech,,"270193000000288129"
MAGNA STEYR,Magna Steyr Pune,"First Floor-101 102 Kapil Zenith, Hissa No.1, Banglore-Mumbai Bypass, Near Chandani Chowk, Bavdhan Khurd, Pune, Maharashtra, 411021, India",27AADCC6465D4ZN,AADCC6465D,MAGNA STEYR,MAGNA STEYR India (Pvt) Ltd,"270193000000193009"
MAHLE,MAHLE Chakan,"GAT no. 626/1/2 & 622/1/0 Dist-Pune-410501, 29, Milestone, Pune Nasik Highway Village kuruli, Tal. Khed, Pune, Maharashtra, 410501, India",27AABCB2186L1ZI,AABCB2186L,MAHLE,"MAHLE ANAND Thermal Systems Private Limited, Chakan","270193000000196029"
MAN Trucks,Man Trucks Pune,,,,MAN Trucks,,"270193000000288143"
MARELLI ,Marelli - Bangalore,"MANYATA EMBASSY BUSINESS PARK, Outer Ring Rd,, DadaMastan Layout, Manayata Tech Park, Nagavara, Bangalore, Maharashtra, 560045, India",29AAGCM2620K1ZD,AAGCM2620K,MARELLI ,Marelli (India) Private Limited,"270193000000221015"
MARELLI ,MARELLI - Gurugram,"5th Floor, Tower 8,Candor TechSpace (Candor Gurgaon One Realty Projects Private Limited- IT/ITES SEZ), Village Tikri, Sector-48, Gurugram, Haryana, 122018, India",06AAGCM2620K2ZK,AAGCM2620K,MARELLI ,MARELLI (INDIA) PRIVATE LIMITED,"270193000000192041"
MARELLI ,Marelli (India) Private Limited,"5th Floor, Tower 8 in IT/ITES SEZ, M/s. Candor Gurgaon One Realty Projects Private  Limited, Village Tikri, Sector 48, Gurugram, Gurugram, Haryana, 122018., Gurugram,  Haryana, 122018, India",06AAGCM2620K2ZK,AAGCM2620K,MARELLI ,,"270193000000195009"
MARELLI ,Marelli - Pune,"M I D C Technology Park,, Talwade, Pune, Maharashtra, 411062, India",,,MARELLI ,Magneti Marelli Motherson Auto System Ltd,"270193000001211017"
MARQUARDT,Marquardt - Pune,"Rajiv Gandhi Infotech Park,(SEZ)- Hijawadi Phase-3, Maan,Mulshi, Pune, Maharashtra, 411057, India",27AAACR3070L2Z9,AAACR3070L,MARQUARDT,MARQUARDT INDIA PVT. LTD.,"270193000000192009"
MSIL ,MSIL Gurugram,,,,MSIL ,,"270193000000288115"
Renault,Renault Chennai,"Ascendas IT Park, Mahindra World City SEZ, Plot NoTP2/1, Chengalpattu, Tamil Nadu, 603002, India",,,Renault,Renault Nissan Technology & Business Centre India Pvt Ltd,"270193000000213353"
SPARK MINDA (SMIT),SMIT - Pune,"MINDA CORPORATION LTD, Rajiv Gandhi, Survey No. 254 P, IT Park, PHASE-I, HINJAWADI, Pune, Maharashtra, 411057, India",27AAACM0344C6ZY,AAACM0344C,SPARK MINDA (SMIT),MINDA CORPORATION LTD,"270193000000196041"
SUN Mobility,SUN Mobility Bangalore,"No. 25, DoddaNekundi Industrial Area, Mahadevapura post, Whitefield Main Road, Bangalore, Karnataka, 560048, India",29AAXCS9197C1ZD,AAXCS9197C,SUN Mobility,SUN MOBILITY PRIVATE LIMITED,"270193000000213421"
TACO,TACO Pune,,,,TACO,,"270193000000288157"
TATA Motors,Tata Motor Pune,"24, Bombay House,, Homi Mody Street,, Mumbai, Mumbai, 400 001, India",27AAHCT8301P1ZT,AAHCT8301P,TATA Motors,Tata Motors Passenger Vehicles Limited,"270193000000288081"
UNO MINDA,CREAT UNO MINDA - PUNE,"Office Unit No. 202, 2nd Floor,ICC Devi Gaurav Tech Park, Plot No.-B, CTS No. 4854 Pimpari Waghire, Pune, Maharashtra, 411018, India",27AAACM1152C4Z0,AAACM1152C,UNO MINDA,UNO MINDA LIMITED (CREAT DIVISION),"270193000000196053"
UNO MINDA,UNO MINDA - Bangalore,"7th floor, Survey No. 33/1, Prestige Tech Park, AWIFS, Jupiter Block, -Marthahalli Ring Road, Outer Ring Road, Bengaluru, Karnataka, 560103, India",29AAACM1152C7ZT,AAACM1152C,UNO MINDA,UNO MINDA LIMITED,"270193000000196058"
VISTEON,Visteon - Chennai,"VISTEON TECHNICAL AND SERVICES CENTRE PRIVATE LIMITED, Ground Floor, A4, Shriram Gateway Office Parks Sez, Perungalathur, Tamil Nadu, 600063, India",33AACCV3261H2ZI,AACCV3261H,VISTEON,VISTEON TECHNICAL AND SERVICES CENTRE PRIVATE LIMITED,"270193000000302009"
VISTEON,Visteon Chennai,"Ground Floor, A4, Shriram Gateway Office Parks Sez, New Perungalathur, Perungalathur, Tamil Nadu, 600063",33AACCV3261H2ZI,,VISTEON,VISTEON TECHNICAL AND SERVICES CENTRE PRIVATE LIMITED,"270193000000302017"
VISTEON,Visteon - Bangalore,"Block 11, Sy No 51 to 64/4, Pritech Park SEZ,, Outer Ring Road Bellandur Village, Bengaluru (Bangalore) Urban, Bangalore, Karnataka, 560103, India",29AACCV3261H2Z7,AACCV3261H,VISTEON,VISTEON TECHNICAL AND SERVICES CENTRE PRIVATE LIMITED,"270193000000848025"
VISTEON,Visteon Pune,"5th Floor,ICC Devi Gaurav, No.191192 Mumbai Pune Road, Pune, Maharashtra, 411018, India",27AACCV3261H1ZC,AACCV3261H,VISTEON,VISTEON TECHNICAL AND SERVICES CENTRE PRIVATE LTD,"270193000000196069"
ZF,ZF Hyderabad,"7th & 8th Floor 09th & 10th floor (Q1 & 4), Sy.No - 203(P),Manikonda jagir Village, CENTAURUS - SEZ unit 2,Rajendranagar Mandal, Ranga Reddy , Hyderabad, Telangana, 500032, India",,,ZF,ZF India Private Limited,"270193000000213373"
